Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
;2.1.1;Столб 80х80х2700, RAL 6005;13609NS;;Фенсис;шт.;34
;2.1.2;Столб 80х80х2х3400, RAL 6005;13616NS;;Фенсис;;2
;2.1.3;Калитка 1000х2500, RAL 6005;59523;;Фенсис;компл.;2
;2.1.4;Панель 2630х2400, RAL 6005;16808N;;Фенсис;шт.;35
;2.1.5;Скоба RAL 6005;8890K;;Фенсис;шт.;178
;2.1.6;Насадка L, RAL 6005;8928N;;Фенсис;шт.;328
;2.1.7;Струна для СББ/ПББ D 2,5мм, оцинкованная;14999;;Фенсис;п.м./шт.;1103,36/2,76
;2.1.8;СББ из АКЛ 500мм, витков в п.м. 6,2, клепок-5;13986;;Фенсис;п.м./шт.;83,2/8,32
;2.1.9;ПББ из АКЛ 500мм витков в п.м. 4,4;13990;;Фенсис;;468,48/46,85
;2.1.10;Замок навесной 4 класса;702BS-90;;;шт.;2
;2.1.11;Крепежный комплект 5 (крепление столба на бетонную плиту устоя);;;;компл.;40
;2.1.11.1;Анкер М12х120;;;;шт.;4
;2.1.12;Крепежный комплект 2 (крепление панели/насадки к столбу);8869;;Фенсис;компл.;81
;2.1.12.1;Винт М8х25 DIN 912 А2-70;;;Фенсис;шт.;4
;2.1.12.2;Шайба D8 DIN 125 А2-70;;;Фенсис;шт.;4
;2.1.14;Крепежный комплект 6 (крепление насадки к бетонному основанию);;;;компл.;252
;2.1.14.1;Анкер М6х60;5-0011710;;;шт.;2
;2.1.15;Крепежный комплект 4 (крепление струны к насадке);8995;;Фенсис;компл.;148
;2.1.15.1;Болт М6х25 DIN 933 оц;;;Фенсис;шт.;4
;2.1.15.2;Зажим для крепления струны/проволоки;;;Фенсис;шт.;4
;2.1.15.3;Шайба D6 DIN 125 оц.;;;Фенсис;шт.;8
;2.1.15.4;Гайка М6 кл.8.0 DIN 934 оц.;;;Фенсис;шт.;4
