Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
;3.1.1;Шкаф коммутационный распределительный с цоколем 800х600х100 мм (всепогодный укомплектованный нагревателями и блоком вентиляторов) в комплекте:;;;;компл.;1
;3.1.1.1;Напольный шкаф 1350x850x650мм;РГДМ.301442.802-01;;ООО «ТДИ»;шт.;1
;3.1.1.2;Панель накладная перфорированная;;;ООО «ТДИ»;шт.;1
;3.1.1.3;REC-стойки высотой 24U (4 шт.) для шкафа;;;ООО «ТДИ»;компл.;1
;3.1.1.4;Блок распределительный на DIN рейку 4р 100А, 5х6мм 2х7,5мм;;BD10074;«ДКС»;шт.;1
;3.1.1.5;DIN-рейка (стандартная) 35/15мм (L=243мм, толщина 1,5мм);;02150-RET10;«ДКС»;шт.;3
;3.1.1.7;Клемма винтовая серая 4мм2 41А 1000В ширина 6мм;;ZCBC04GR;«ДКС»;шт.;30
;3.1.1.8;Короб перфорированный RL12 25х30мм шаг перфорации 8/12 серый;;00127RL;«ДКС»;м;3
;3.1.1.9;Концевой выключатель, однофазный, Н.З. контакт;;R5MC01;«ДКС»;шт.;1
;3.1.1.10;Сетевой контроллер (WEB, XML, SNMP v1, v2C, v3, ModBus/TCP, GSM);iNode CE-35D GSM;;«iNode»;шт.;1
;3.1.1.11;Извещатель охранный точечный магнитоконтактный;ИО 102-20 Б2М;;«КомплектСтройСервис»;шт.;1
;3.1.1.16;Извещатель охранный поверхностный вибрационный;Вулкан;157-961-038;«Болид»;шт.;1
;3.1.1.17;Цифровой датчик температуры и влажности окружающей среды;HSensorEnc;;«iNode»;шт.;1
;3.1.1.18;Блок-питания (220В/12В пост. ток, 3.3A, 40Вт, -20 - +70°C, влажность 20-90%);MDR-40-12;9000052256;MEAN WELL;шт.;1
;3.1.1.19;Блок-питания (220В/24В пост. ток, 3.2A, 76Вт, -30 - +70°C, влажность 20-95%);LRS-75-24;9000334427;MEAN WELL;шт.;1
;3.1.1.20;С-образный профиль 41х41, L1500, толщ.2,5 мм;;BPM4115;«ДКС»;шт;5
;3.1.1.21;Анкер усиленный клиновой М10*100;;CM481001;«ДКС»;шт;4
;3.1.1.22;Болт с шестигранной головкой М10х40;;CM081040;«ДКС»;шт;4
;3.1.1.23;Шайба гровер М10;;CM131000;«ДКС»;шт;4
;3.1.1.24;Лист рифленый 1.5х1200х600 МС чечевич;ГОСТ 21631-2019;;;шт;4
;3.1.1.25;Уголок 40х40х6000;ГОСТ 21631-2019;;;шт;1
;3.1.1.26;Заклепка Sormat 4.8x12 мм;DIN 7337;;;шт;14
;3.1.2;"Кросс оптический комплект 1U 19"" 16 портов FC/ST, выдвижной";СКРУ-M19-1U-C16-FC/ST FULL;;;шт.;1
;3.1.4;Устройство грозозащиты (5 портов Ethernet, 1 AC220, Класс 5, IP66, от -55°С до +50°С);TFortis SG-Switch;;;шт.;1
;3.1.7;Управляемый стекируемый коммутатор с поддержкой PoE 802.3af/at, 24 порта 10/100/1000BASE-T PoE, 4 порта 10GbE SFP+, 4K VLAN, 16K MAC адресов, консольный порт, встроенный БП разъем питания на задней панели, 100-240В AC, размеры ШхГхВ (435x240x44 мм);QSW-3310-28TX-POE-AC;;ООО «КЬЮТЭК»;шт.;1
;3.1.8;Трансивер «ФТИ-Оптроник» Модуль SFP+ WDM, 10Гбит/с, 10км, разъем LC  Rx/Tx 1270/1330nm;TBSF12d-10-10gLC-3c;;«ФТИ-Оптроник»;шт.;1
;3.1.9;Трансивер «ФТИ-Оптроник» Модуль SFP+ WDM, 10Гбит/с, 10км, разъем LC  Rx/Tx 1330/1270nm;TBSF13d-10-10gLC-3c;;«ФТИ-Оптроник»;шт.;1
;3.1.10;Шнур оптический патчкорд FC-LC, sm, 1м, двойной;DPC-SM-FC-LC-1;;;шт.;10
;3.1.11;"Шкаф коммутационный
(Коммутатор уличный 8 портов PoE+, 2 порта SFP, IP66, -55°С до +50°С)";TFortis PSW-2G8F+;;;шт.;9
;3.1.12;Устройство грозозащиты (5 портов Ethernet, 1 AC220, Класс 5, IP66, от -55°С до +50°С);TFortis SG-Switch;;;шт.;9
;3.1.13;Патч-корд U/UTP. Cat.6a. LSZH. 1м;PC-LPM-UTP-RJ45-RJ45-C6a-1M-LSZH;;;шт.;34
;3.1.14;Трансивер «ФТИ-Оптроник» Модуль SFP WDM, 1.25Гбит/с, 3км, DDM, разъем LC Rx/Tx 1310/1550нм;TBSF13-3-12gLC-3c-DD (1310/1550nm);;«ФТИ-Оптроник»;шт.;10
;3.1.15;Трансивер «ФТИ-Оптроник» Модуль SFP WDM, 1.25Гбит/с, 3км, DDM, разъем LC 1550/1310nm;TBSF15-3-12gLC-3c-DD          (1550/1310nm);;«ФТИ-Оптроник»;шт.;10
;3.1.16;Профиль С-образный 41х41х2,5 L=1500мм;BPM4115;;;шт./м;9/13,5
;3.1.17;Лента перфорированная 1000х30х2,5;;;;шт.;18
;3.1.18;Болт шестигранный М10х25 оцинк.;DIN 933;;;шт.;108
;3.1.19;Гайка М10 с прессшайбой;DIN 6923;;;шт.;216
;3.1.20;Болт шестигранный М10х80 оцинкованный;DIN 933;;;шт.;63
;3.1.21;Профиль С-образный 21х41х1,5 L=250мм;BPL2110;;;шт.;36
;3.1.22;Крепление стеновое для С-профиля компл.;IBMD1051C;;;шт.;45
;3.1.23;Болт шестигранный М6х25 оцинкованный;DIN 933;;;шт.;72
;3.1.24;Гайка канальная М6 для С-профилей;DIN 933;;;;72
;3.1.25;Шайба М10;DIN9021;;;;18
