Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
;4.3.1;"Сетевая (Разрешение 1440p при частоте до 30/25 кадр/с) Температура эксплуатации: от -40°C до 70°C
ИК-подсветка с дальностью действия до 100 м, IP66, PoE+ и 24 VDC. Аудио, Электронная стабилизация изображений)";GPP 4Sx25 IR100;;"ООО ""ГЛОСАВ""";шт.;2
;4.3.2;Коробка монтажная;;;"ООО ""ГЛОСАВ""";шт.;2
;4.3.4;Грозозащита для IP видеокамер;SG-Cam Грозозащита Tfortis;SG-Cam;«Tfortis»;шт.;2
;4.3.5;П-образный профиль PSM, L300, толщ.2,5 мм, горячеоцинкованный;;BPM2903HDZ;«ДКС»;шт.;4
;4.3.6;Болт шестигранный М8х100 мм;DIN 933;1605201-1801;«ДКС»;шт.;8
;4.3.7;Болт с шестигранной головкой М8х16, горячеоцинкованный;;CM020816HDZ;«ДКС»;шт.;8
;4.3.8;Шайба М8;DIN9021;CM240800;«ДКС»;шт.;16
;4.3.9;Гайка с насечкой, препятствующей откручиванию М8;DIN 6923;CM100800;«ДКС»;шт.;16
;4.3.10;Винт полусфера М5х100;DIN 7985;WN00088387;«ДКС»;шт.;4
;4.3.11;Гайка с насечкой, препятствующей откручиванию М5;DIN 6923;CM100500;«ДКС»;шт.;4
