Номер;Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
4.5.1;Сетевая камера (2Мп телекамера сетевая уличная поворотная с ИК-подсветкой 250м. HDTV 1080, 45x оптический зум, H264/265, Motion JPEG, IP67, 24 VDC, PoE+ (802.3at), Электронная стабилизация изображений);GPP 2Sx45 IR250;;"ООО ""ГЛОСАВ""";шт.;2;5,9;
4.5.2;Коробка монтажная;;;"ООО ""ГЛОСАВ""";шт.;2;0,5;
4.5.3;Грозозащита для IP видеокамер;SG-Cam Грозозащита Tfortis;SG-Cam;«Tfortis»;шт.;2;2,0;
4.5.4;Консоль для тяжелых нагрузок 800 мм с укосиной, горячеоцинкованная;;BBS4180HDZ;«ДКС»;шт.;2;;
4.5.5;С-образный профиль 41х41, L600, толщ.2,0 мм;;BPV4106;«ДКС»;шт.;2;;
4.5.6;Крепление к потолку BSF-41 с площадкой 150х150мм, шарнирное, горячеоцинкованное;;BSF4104HDZ;«ДКС»;шт.;2;;
4.5.7;Крепление к потолку SML, горячеоцинкованное;;BSV2901HDZ;«ДКС»;шт.;2;;
4.5.8;Шпилька М10х60;;CM201006;«ДКС»;шт.;20;;
4.5.9;Шайба М10;DIN9021;CM241000;«ДКС»;шт.;20;;
4.5.10;Гайка шестигранная М10;DIN110600;CM111000;«ДКС»;шт.;20;;
4.5.11;Болт с шестигранной головкой и неполной резьбой М8х70, горячеоцинкованный;;CM020870HDZ;«ДКС»;шт.;6;;
4.5.12;Шайба М8;DIN9021;CM240800;«ДКС»;шт.;6;;
4.5.13;Гайка с насечкой, препятствующей откручиванию М8;DIN 6923;CM100800;«ДКС»;шт.;6;;
4.5.14;П-образный профиль PSM, L300, толщ.2,5 мм, горячеоцинкованный;;BPM2903HDZ;«ДКС»;шт.;4;;
4.5.15;Болт с шестигранной головкой и неполной резьбой М8х60, горячеоцинкованный;;CM020860HDZ;«ДКС»;шт.;8;;
4.5.16;Болт с шестигранной головкой М8х16, горячеоцинкованный;;CM020816HDZ;«ДКС»;шт.;8;;
4.5.17;Шайба М8;DIN9021;CM240800;«ДКС»;шт.;16;;
4.5.18;Гайка с насечкой, препятствующей откручиванию М8;DIN 6923;CM100800;«ДКС»;шт.;16;;
4.5.19;Винт полусфера М5х50 DIN 7985, оцинкованная сталь;DIN 7985;WN00088382;«ДКС»;шт.;4;;
4.5.20;Гайка с насечкой, препятствующей откручиванию М5;DIN 6923;CM100500;«ДКС»;шт.;4;;
