Номер;Наименование и техническая характеристика;Тип, марка, обозначение документа, опросного листа;Код продукции;Поставщик;Ед. измере-ния;Кол.;Масса 1 ед., кг;Примечание
5.1.1;Шкаф охранный (комплектный, 106Вт, 600х400х200мм, IP65, 12кг), в составе:;;;;компл.;2;;ШО 1, ШО 2
5.1.1.1;Шкаф электротехнический пластиковый, армированный стекловолокном 600х400х200 (IP55, IK10, УХЛ1, НГ, УФ-стойкий);;PB65MP008;EKF;шт.;1;5,2;
5.1.1.2;Автоматический выключатель C4А/2п/ 6,0кА;;mcb6-DC-2-04C-av;EKF;шт.;1;0,2;
5.1.1.3;Автоматический выключатель C2А/1п/ 6,0кА;;M636102C;EKF;шт.;1;0,2;
5.1.1.4;Блок-питания (220В/24В пост. ток, 3.2A, 76Вт, -30 - +70°C, влажность 20-95%);;dr-75w-24;MEAN WELL;шт.;1;0,548;
5.1.1.5;"Прибор приемно-контрольный
(ППКОП 4ШС, Uшс.19...24В, Iшс.3мА(1,2мА для типа ШС ""тип 2""), U-пит.12В или 24В, Iпотр.до 260мА, 2 выхода ""СК"" (=30В/7А), 2 контрол.вых.""ОК"" (=28В/1А), RS-485, автономный режим работы или в составе ИСО ""Орион"", подключение считывателей с интерфейсом Touch Memory, Wiegand, ABA TRACK II; управление считывателем (до 4096 ключей) или по RS-485 в протоколе ""ОРИОН"", управление э/м замком (вход по считывателю, выход по кнопке), память событий на 4088 сообщений, програм.с комп.; tраб.-40...+50°С, IP40, габ.размеры 156х107х39мм)";С2000-4;10-450-001;«Болид»;шт.;1;0,3;
5.1.1.6;"Преобразователь интерфейсов RS-485/RS-232 в Ethernet
(Преобразователь интерфейса RS-232/RS-485 в Ethernet, U-пит.11...28.4 В, I-потр.90 мА, IP20, t-раб.-30...+50°С, 102х107х39мм)";С2000-Ethernet;141-112-772;«Болид»;шт.;1;0,2;
5.1.1.7;Устройство оконечное системы передачи извещений по каналам сотовой связи GSM;УО-4С исп.02;120-682-768;«Болид»;шт.;1;0,3;
5.1.1.8;Извещатель охранный точечный магнитоконтактный;ИО102-40 Б2М;;«Магнито-Контакт»;шт.;1;0,045;
5.1.1.9;Извещатель охранный поверхностный вибрационный;Вулкан;157-961-038з;«Болид»;шт.;1;0,15;
5.1.1.10;Реле контроля температуры ТР-15 ACDC24В/АС230В УХЛ2 с ТД-2;Термореле ТР-15;4680019911557;«Меандр»;шт.;1;0,075;
5.1.1.11;Конвекционный нагреватель (220В, 30Вт, 80х65х23 мм);;SNT-030-110;Silart;шт.;1;0,16;
5.1.1.12;"Устройство защиты информационных портов оборудования Ethernet
(10BASE-T, 100BASE-TX, 2-защищаемые пары, макс. разрядный ток 1,5 кА. t=-40-+80°C. 86х58х35мм)";УЗЛ-Е;20100;«Тахион»;шт.;1;0,09;
5.1.1.13;DIN-рейка (стандартная) 35/15мм (L=243мм, толщина 1,5мм);;02150;«ДКС»;шт.;3;0,18;
5.1.1.14;Короб перфорированный RL12 25х30мм шаг перфорации 8/12 серый;;00127RL;«ДКС»;м;1,2;0,17;
5.1.1.15;Клемма винтовая серая 4мм2 41А 1000В ширина 6мм;;ZCBC04GR;«ДКС»;шт.;22;0,01;
5.1.1.16;Герметичный кабельный ввод для диаметра 13-18мм, резьба М25х1.5 (1''), IP68, HF;;53M2518;«ДКС»;шт.;4;0,024;
5.1.1.17;Болт шестигранный М10х80 оцинк.;;CM081080HDZ;«ДКС»;шт.;2;0,054;
5.1.1.18;Гайка М10 с прессшайбой;;DIN 6923;«ДКС»;шт.;2;0,0119;
5.1.1.19;Шайба М10;;DIN9021;«ДКС»;шт.;2;0,011;
5.1.1.20;Профиль С-образный 41х41х2,5 L=900мм;;IBSF4109;«ДКС»;шт.;1;2,268;
5.1.1.21;Крепление стеновое для С-профиля компл.;;IBMD1051C;«ДКС»;шт.;2;0,39;
5.1.1.22;Лента перфорированная 1000х30х2,5;;;;шт.;4;2,0;
5.1.1.23;Скрепа;;;;шт.;4;;
5.1.1.24;Уплотнитель неопрен CR/SBR 40x3;;;;шт.;2;;
5.1.2;"Извещатель охранный радиоволновой объемный
(f-раб.24,05...24,25 ГГц, длина ЗО 5…30м; ширина ЗО - 40м; высота ЗО - 2м; U-пит.10...30В; P-потр.1.5Вт; 1 вых.""СК""; RS-485; IP55, t-раб.-40...+80°C; 141х123х67мм)";ЗЕБРА-30(24)-В (веер);;"ООО ""ОХРАННАЯ ТЕХНИКА""";шт.;4;1,0;
5.1.3;Профиль С-образный 41х41х2,5 L=500мм;;IBSF4109;«ДКС»;шт.;4;1,22;
5.1.4;Крепление с площадкой шарнирное для профиля BPM-41, AISI 304L;IBSF4104C;;;шт.;4;1,5;
5.1.5;Анкер усиленный клиновой М10х100 в комплекте с гайкой и шайбой;CM481001;;;шт.;16;0,065;
5.1.6;Болт шестигранный М10х25 оцинк.;CM081025HDZ;;;шт.;8;0,02;
5.1.7;Гайка М10 с прессшайбой;DIN 6923;;;шт.;8;0,0119;
5.1.8;Шайба М10;DIN9021;;;шт.;8;0,011;
5.1.9;Контроллер периметровых извещателей;С2000-Периметр;724-882-153;«Болид»;шт.;2;0,05;
5.1.10;Извещатель охранный вибрационный в составе:;Сечень-02;;ООО «СТ-ПЕРИМЕТР»;компл.;2;0,95;
5.1.10.1;Блок обработки сигналов;БОС;;ООО «СТ-ПЕРИМЕТР»;шт.;2;1,2;
5.1.10.2;Блок контроля трибокабеля;БК-ТК;;ООО «СТ-ПЕРИМЕТР»;шт.;4;1,2;
5.1.10.3;Трибокабель;ТК-250;;ООО «СТ-ПЕРИМЕТР»;шт.;4;;
5.1.10.4;Датчик виброчувствительный;ДВ;;ООО «СТ-ПЕРИМЕТР»;шт.;4;0,24;
5.1.10.5;Блок контроля шлейфа сигнализации;БК-ШС;;ООО «СТ-ПЕРИМЕТР»;шт.;4;0,35;
5.1.11;Извещатель охранный;ИО102-40 Б2М;;"ООО НПП ""Магнито-Контакт"",";шт.;4;0,17;
5.1.12;Кабель ОПС и СОУЭ огнестойкий, с низким дымо и газовыделением 2х2х0,75;КПКЭВнг(А)-FRLS;;;м;311;;
5.1.13;Кабель витая пара UFTP4 кат.6 уличный (для групповой прокладки);UFTP4-C6-SOLID-OUTDOOR;;;м;6;;
